County ID,County Name,Precinct Code,Precinct Name,School District Code,School District Name,Number of Registered Voters,,,,,,,,,
2,Anoka,2230,LINO LAKES P-6,12,CENTENNIAL,1390,,,,,,,,,
2,Anoka,2230,LINO LAKES P-6,624,WHITE BEAR LAKE,1228,,,,,,,,,
2,Anoka,2235,LINO LAKES P-7,12,CENTENNIAL,2415,,,,,,,,,
2,Anoka,2305,LINWOOD P-1,831,FOREST LAKE,2414,,,,,,,,,
2,Anoka,2310,LINWOOD P-2,831,FOREST LAKE,1391,,,,,,,,,
2,Anoka,2405,NOWTHEN P-1A,11,ANOKA-HENNEPIN,887,,,,,,,,,
2,Anoka,2405,NOWTHEN P-1A,728,ISD 728,1180,,,,,,,,,
2,Anoka,2410,NOWTHEN P-2A,15,ST. FRANCIS AREA,1149,,,,,,,,,
2,Anoka,2505,OAK GROVE P-1,15,ST. FRANCIS AREA,1880,,,,,,,,,
2,Anoka,2510,OAK GROVE P-2,15,ST. FRANCIS AREA,1672,,,,,,,,,
2,Anoka,2515,OAK GROVE P-3,15,ST. FRANCIS AREA,1682,,,,,,,,,
2,Anoka,2520,OAK GROVE P-4,11,ANOKA-HENNEPIN,102,,,,,,,,,
2,Anoka,2520,OAK GROVE P-4,15,ST. FRANCIS AREA,1002,,,,,,,,,
2,Anoka,2605,RAMSEY W-1 P-1,11,ANOKA-HENNEPIN,3211,,,,,,,,,
2,Anoka,2610,RAMSEY W-1 P-2,11,ANOKA-HENNEPIN,950,,,,,,,,,
2,Anoka,2705,RAMSEY W-2 P-1,11,ANOKA-HENNEPIN,781,,,,,,,,,
2,Anoka,2705,RAMSEY W-2 P-1,728,ISD 728,813,,,,,,,,,
2,Anoka,2710,RAMSEY W-2 P-2,11,ANOKA-HENNEPIN,2116,,,,,,,,,
2,Anoka,2710,RAMSEY W-2 P-2,728,ISD 728,993,,,,,,,,,
2,Anoka,2805,RAMSEY W-3 P-1,11,ANOKA-HENNEPIN,3550,,,,,,,,,
